"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 24 08:24:16 GMT 2022","Fri Jun 24 08:24:19 GMT 2022","2723","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jun 23 14:13:19 GMT 2022","Thu Jun 23 14:13:26 GMT 2022","6563","","vizsgaremek","TestConduit","","","test_save_data",""
"passed","Thu Jun 23 14:13:29 GMT 2022","Thu Jun 23 14:13:48 GMT 2022","18609","","vizsgaremek","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:12:43 GMT 2022","Thu Jun 23 14:12:46 GMT 2022","2527","","vizsgaremek","TestConduit","","","test_find_ipsum_tag",""
"passed","Fri Jun 24 08:24:49 GMT 2022","Fri Jun 24 08:24:56 GMT 2022","6811","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Jun 23 14:12:37 GMT 2022","Thu Jun 23 14:12:39 GMT 2022","2475","","vizsgaremek","TestConduit","","","test_login",""
"passed","Fri Jun 24 08:25:18 GMT 2022","Fri Jun 24 08:25:36 GMT 2022","17634","test_conduit","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Thu Jun 23 14:12:30 GMT 2022","Thu Jun 23 14:12:33 GMT 2022","2780","","vizsgaremek","TestConduit","","","test_invalid_registration",""
"passed","Thu Jun 23 14:14:12 GMT 2022","Thu Jun 23 14:14:17 GMT 2022","4198","","vizsgaremek","TestConduit","","","test_logout",""
"broken","Fri Jun 24 08:23:58 GMT 2022","Fri Jun 24 08:24:08 GMT 2022","10014","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Fri Jun 24 08:24:37 GMT 2022","Fri Jun 24 08:24:48 GMT 2022","11033","test_conduit","test_conduit","TestConduit","","","test_edit_article",""
"passed","Fri Jun 24 08:24:10 GMT 2022","Fri Jun 24 08:24:15 GMT 2022","4515","test_conduit","test_conduit","TestConduit","","","test_invalid_registration",""
"passed","Thu Jun 23 14:12:56 GMT 2022","Thu Jun 23 14:13:01 GMT 2022","4987","","vizsgaremek","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:12:14 GMT 2022","Thu Jun 23 14:12:26 GMT 2022","12054","","vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Fri Jun 24 08:25:37 GMT 2022","Fri Jun 24 08:25:41 GMT 2022","4284","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 23 14:13:52 GMT 2022","Thu Jun 23 14:14:08 GMT 2022","16806","","vizsgaremek","TestConduit","","","test_input_from_file",""
"passed","Fri Jun 24 08:24:58 GMT 2022","Fri Jun 24 08:25:17 GMT 2022","18932","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:13:04 GMT 2022","Thu Jun 23 14:13:15 GMT 2022","10723","","vizsgaremek","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:12:49 GMT 2022","Thu Jun 23 14:12:52 GMT 2022","2616","","vizsgaremek","TestConduit","","","test_pagination",""
"passed","Fri Jun 24 08:24:25 GMT 2022","Fri Jun 24 08:24:28 GMT 2022","2983","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Jun 24 08:24:29 GMT 2022","Fri Jun 24 08:24:35 GMT 2022","5698","test_conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Fri Jun 24 08:24:20 GMT 2022","Fri Jun 24 08:24:23 GMT 2022","2888","test_conduit","test_conduit","TestConduit","","","test_find_ipsum_tag",""
